district_name,mean_str
sindhudurg,10.058474629027033
ratnagiri,11.515355292104953
raigarh,12.316294474278799
gadchiroli,14.919132511995329
wardha,15.030364355478072
nagpur,15.062180184820514
satara,15.277941952626223
amravati,16.786914281687984
chandrapur,16.924422925539886
akola,17.925844140960766
bhandara,18.832625780762076
pune,19.011666013025504
gondiya,19.11743058343895
bid,19.542368305259174
washim,19.96198791306679
yavatmal,20.660449791080175
kolhapur,20.962844307799656
buldana,20.965381109978846
osmanabad,21.347696098485294
ahmadnagar,21.51083609590008
latur,21.565005851677117
nanded,21.905465708694535
sangli,22.011872498122127
solapur,22.270994669480444
parbhani,23.030010874718712
thane,23.403433683345455
jalna,23.783999246839272
aurangabad,23.945408168706997
nandurbar,24.378318954356725
jalgaon,24.82010960749697
nashik,25.230506174338462
dhule,26.84407497869527
hingoli,29.066086943194787
