term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),20.326705669341003,0.32043604985886714,63.43451580524007,0,19.69864157003952,20.954769768642485
availability_of_high_school,0.39702969531951077,0.09661541261431383,4.109382598244887,3.975903054809803e-5,0.207660639843461,0.5863987507955606
availability_of_middle_school,0.889135152436798,0.084947992600148,10.466817698941703,1.3347137573186978e-25,0.7226345839664914,1.0556357209071046
no_of_children_not_attending_sch,0.22512741450563,0.06758120750351007,3.331213259158431,8.655473738885151e-4,0.09266625653325694,0.3575885724780031
total_minority_children_getting_,0.2763226112756048,0.07258687427336187,3.806784822211451,1.4101682041326423e-4,0.13405019894344605,0.41859502360776357
availability_of_mid_day_meal_sch,0.3517497706346315,0.06712204607225138,5.240450659921804,1.6108044089381213e-7,0.22018858259661658,0.4833109586726464
is_vocational_edu_centre_availab,-0.1571709699253698,0.0666008219122412,-2.3598953498272346,0.018285362301235075,-0.28771054325200895,-0.026631396598730678
availability_of_adult_edu_centre,-0.12914298050751863,0.06715228894835128,-1.9231359426459185,0.05447080782255681,-0.26076344547378905,0.0024774844587517886
availability_of_ssc_school,-0.09167760110892846,0.08471956616426139,-1.0821302003739757,0.27920188035306037,-0.25773044703436243,0.0743752448165055
is_early_childhood_edu_provided_,0.21749200463440566,0.0651288408011177,3.339411571880352,8.404073909756055e-4,0.08983755765717,0.3451464516116413
availability_of_govt_degree_coll,-0.1823837401752674,0.06977633952970765,-2.613833591795347,0.008956965159988565,-0.3191474215980726,-0.04562005875246222
availability_of_primary_school,0.11983788883717957,0.1977737022704442,0.605934396036679,0.5445621138932163,-0.2678043949717585,0.5074801726461177
availability_of_public_library,-0.06688819736705924,0.07283612914261008,-0.9183381675335185,0.3584479646226607,-0.2096491565871847,0.0758727618530662
total_no_of_pregnant_women,0.14740191935627633,0.1062978849343173,1.3866872275714395,0.1655456889088823,-0.06094506715890874,0.3557489058714614
total_no_of_women_delivered_babi,0.2758787739056651,0.12512570695817096,2.2048129086526584,0.02747348602172427,0.030628701466070163,0.5211288463452601
total_anemic_pregnant_women,-0.01347905220625316,0.11379713854300158,-0.11844807680431882,0.90571329074478,-0.2365247967583263,0.20956669234581995
total_no_of_newly_born_children,0.3961538110543909,0.0987036780231566,4.013566859802837,5.992825192745213e-5,0.20269169384672595,0.5896159282620559
total_no_of_newly_born_underweig,-0.062336009392500544,0.07872397018840113,-0.7918301026144751,0.4284649315571978,-0.21663731054632474,0.09196529176132363
total_underweight_child_age_unde,0.11441264662264078,0.06805030222989479,1.6812952018364264,0.09271420855679978,-0.01896795083521982,0.24779324408050138
total_no_of_lactating_mothers,-0.06194667646335885,0.10331994722348556,-0.5995616347864123,0.5488021714100965,-0.2644568173210306,0.1405634643943129
total_anemic_adolescent_girls,-0.20709644953178147,0.1010631448341349,-2.049178757218259,0.040451824688978656,-0.40518319121013724,-0.00900970785342567
phc,0.19888463095483402,0.06629608242413586,2.9999454520170525,0.002702115018851492,0.06894235600396373,0.3288269059057043
sub_centre,0.4917127313058306,0.07096794648336344,6.9286594254365195,4.319346747147661e-12,0.35261346514342184,0.6308119974682393
chc,0.21087516004903406,0.0743836942314416,2.834964870027902,0.004585608952959098,0.06508092765613205,0.3566693924419361
availability_of_mother_child_hea,0.09319040707258869,0.0708393253420906,1.3155179926200926,0.1883441991301651,-0.045656757863131475,0.23203757200830885
total_hhd_having_piped_water_con,0.3826051158215933,0.09132938947148093,4.189288005051954,2.804928415595948e-5,0.20359682145701144,0.5616134101861752
no_electricity,-0.013149584948564169,0.06466221796679182,-0.20335808702567734,0.8388562990651325,-0.1398894374215814,0.11359026752445306
is_bank_available,0.06252717121479592,0.08898638141290716,0.7026600050704678,0.4822721724786614,-0.11188875831876152,0.23694310074835337
public_transport,0.33671427629957795,0.06916579969892574,4.868219232124453,1.130818483709868e-6,0.20114727093452783,0.47228128166462807
telephone_services,0.1007287231097265,0.06739207936067577,1.4946670894458722,0.13501005674963945,-0.03136173813007198,0.23281918434952498
is_broadband_available,0.2737750672443726,0.07167811963401091,3.81950682638259,1.3394159958916767e-4,0.13328384078159836,0.41426629370714685
weekly_haat,0.3982035195316792,0.07153340714941084,5.566679058079213,2.614754057462968e-8,0.2579959338026428,0.5384111052607157
any_primary_sch_toilet,-0.0021358701657070303,0.0660802997621877,-0.032322343775583365,0.9742151688052985,-0.13165520474117004,0.12738346440975595
is_primary_school_with_computer_,0.38899297280072714,0.07047609989202243,5.519501978638284,3.42286694610127e-8,0.25085774044949904,0.5271282051519552
is_village_connected_to_all_weat,-0.0015950996644294511,0.06791324054540734,-0.02348731486848952,0.9812616863126808,-0.1347070521822021,0.13151685285334322
is_atm_available,0.021766492482705693,0.0842831976511773,0.25825423203318215,0.7962121728677558,-0.14343105829958064,0.18696404326499205
recreational_centre,-0.05647125806398558,0.06757586193621859,-0.8356720350424227,0.40334494262127285,-0.18892193856696132,0.07597942243899018
total_hhd_having_bpl_cards,0.7716418794129588,0.0890828718253716,8.662067843138262,4.82103422067171e-18,0.5970368258279022,0.9462469329980154
gp_total_hhd_receiving_food_grai,-0.09249493405427565,0.08847008079866207,-1.0454939480022996,0.2958017114423645,-0.2658988991712281,0.08090903106267679
total_hhd_availing_pmjdy_bank_ac,0.4758595922285131,0.09203848266800943,5.170224219634072,2.350538508134053e-7,0.2954614543054595,0.6562577301515666
total_hhd_registered_under_pmjay,0.07696507230116871,0.0857879533025591,0.8971547791765863,0.36964229290929307,-0.09118184389512206,0.24511198849745947
total_no_of_beneficiaries_receiv,-0.32138929128825866,0.10292935487010685,-3.122425975503688,0.0017950836299005836,-0.5231338596245899,-0.11964472295192743
total_no_of_farmers_received_ben,0.26825421230313,0.07555834517204396,3.5502923163857503,3.8529102239643167e-4,0.1201576294558144,0.4163507951504456
total_shg,0.4694242231295256,0.07853738719953876,5.977079705196539,2.2929296589177334e-9,0.31548863013149864,0.6233598161275525
total_shg_accessed_bank_loans,0.008687679256981778,0.07814888969265318,0.11116830054974551,0.9114835040891028,-0.14448644718055545,0.161861805694519
total_hhd_having_pmsbhgy_benefit,0.1820266028280565,0.06805503483066278,2.6746970783422896,0.007483037560326752,0.04863672933324564,0.31541647632286735
total_hhd_got_benefit_under_stat,0.4107223200426987,0.06882196124790614,5.967896185975006,2.4256143689377012e-9,0.27582924817277177,0.5456153919126256
gp_total_no_of_eligible_benefici,-0.12601156507227165,0.083120359569547,-1.516013233398461,0.12952473059997482,-0.288929918951793,0.03690678880724965
total_no_of_farmers_subscribed_a,0.013425592361151175,0.07238065747669518,0.18548591335294087,0.8528489664178033,-0.12844262897340808,0.15529381369571044
district_nameakola,-2.6383045423483438,0.5655848005073615,-4.664737347930205,3.101138670419958e-6,-3.746867416175178,-1.52974166852151
district_nameamravati,-3.7192455655258425,0.47598231999147744,-7.813831332206701,5.6966794943643945e-15,-4.6521849374240585,-2.786306193627626
district_nameaurangabad,3.3671308646156404,0.48146046434391326,6.9935770722192805,2.7260271618486516e-12,2.4234541683743247,4.310807560856956
district_namebhandara,-1.4406714402796204,0.5744774520596986,-2.5077945794292176,0.012153063736022322,-2.5666641731690674,-0.31467870739017334
district_namebid,-0.8434116827899725,0.4724141715449627,-1.785322569879129,0.07421737259312015,-1.7693573785983063,0.0825340130183615
district_namebuldana,0.4232062894044518,0.48791082788663964,0.8673844998225348,0.3857371164952683,-0.5331133094391578,1.3795258882480614
district_namechandrapur,-2.64004097828906,0.47290147304332636,-5.582644861093897,2.3858153771047743e-8,-3.566941799392419,-1.713140157185701
district_namedhule,5.202414792194532,0.5891470942531382,8.83041746779662,1.0886402437165782e-18,4.047669128368146,6.357160456020918
district_namegadchiroli,-3.4049344754441635,0.47600118308941375,-7.153205908743653,8.637873969022288e-13,-4.337910819570132,-2.471958131318195
district_namegondiya,-1.16730612180262,0.5455877014430955,-2.1395389205347937,0.03239870882896539,-2.2366740922533435,-0.09793815135189643
district_namehingoli,9.569944776070653,0.5919432793824478,16.166996246759684,1.3829655699394492e-58,8.409718507001836,10.73017104513947
district_namejalgaon,3.6149150651536677,0.4658713444447913,7.759470738561509,8.75145127611228e-15,2.7017935032446387,4.528036627062697
district_namejalna,3.682545804717996,0.5235003403601974,7.034466877679963,2.0356727334420356e-12,2.656469712789015,4.708621896646977
district_namekolhapur,-0.9041183750628105,0.4884995347508137,-1.8508070340824505,0.06420545271372066,-1.8615918567063203,0.05335510658069931
district_namelatur,0.26723664051400636,0.5255973405876394,0.508443669473717,0.6111453298906246,-0.7629496336484145,1.2974229146764271
district_namenagpur,-4.4723353835990345,0.47370974609303623,-9.441087966808839,3.901604980136883e-21,-5.400820443695413,-3.5438503235026557
district_namenanded,1.866977973110982,0.45808031437969243,4.075656417672396,4.598247226037537e-5,0.9691270596905428,2.7648288865314212
district_namenandurbar,4.595989810615455,0.5369994118641752,8.558649616878784,1.1861767246866625e-17,3.5434551407914885,5.648524480439422
district_namenashik,4.776499229506271,0.4310009917988014,11.082339299432569,1.6983748821427296e-28,3.9317245862306938,5.621273872781848
district_nameosmanabad,0.04761731965443486,0.5723733668916368,0.08319275914780622,0.9336987297541606,-1.0742513443092017,1.1694859836180715
district_nameparbhani,3.2676573698779956,0.5450752170830353,5.994874225551534,2.055655532046368e-9,2.1992938838732297,4.3360208558827615
district_namepune,-1.663976366226185,0.4371137870615152,-3.8067350321119315,1.4104518982068824e-4,-2.5207322683288567,-0.8072204641235134
district_nameraigarh,-6.6137587782295615,0.45170726837941944,-14.641692178117044,2.0939683094063435e-48,-7.49911833370906,-5.728399222750063
district_nameratnagiri,-8.26059190717772,0.4711010789358459,-17.53464866995696,1.4970671753823937e-68,-9.183963902782198,-7.337219911573241
district_namesangli,-0.8000890565112274,0.5681563890300673,-1.4082197647677708,0.1590745861737681,-1.9136923196138578,0.31351420659140306
district_namesatara,-4.8551347375791405,0.4476080137980361,-10.846844980237131,2.2743839557969436e-27,-5.732459633295488,-3.9778098418627934
district_namesindhudurg,-10.118663382255368,0.5793398670956431,-17.465850284017964,4.959364970456388e-68,-11.254186591885261,-8.983140172625475
district_namesolapur,0.5443471161718068,0.4911987092199611,1.1082014385506977,0.2677821864077151,-0.41841682696181715,1.5071110593054307
district_namethane,3.64939915527752,0.4527416521868366,8.06066580719967,7.81898058826842e-16,2.762012177057592,4.536786133497448
district_namewardha,-4.995683675941826,0.5495173952538925,-9.091038280296257,1.0294127445607709e-19,-6.07275396204928,-3.9186133898343716
district_namewashim,-0.19262068064464422,0.5899047363935178,-0.32652845241125417,0.7440264521595619,-1.3488513453899342,0.9636099841006458
district_nameyavatmal,0.8568908802169655,0.44743378296698966,1.9151233385526107,0.05548464084417475,-0.0200925179368574,1.7338742783707883
