term,estimate,std.error,statistic,p.value,conf.low,conf.high,district_clean
district_nameakola,-2.6383045423483438,0.5655848005073615,-4.664737347930205,3.101138670419958e-6,-3.746867416175178,-1.52974166852151,akola
district_nameamravati,-3.7192455655258425,0.47598231999147744,-7.813831332206701,5.6966794943643945e-15,-4.6521849374240585,-2.786306193627626,amravati
district_nameaurangabad,3.3671308646156404,0.48146046434391326,6.9935770722192805,2.7260271618486516e-12,2.4234541683743247,4.310807560856956,aurangabad
district_namebhandara,-1.4406714402796204,0.5744774520596986,-2.5077945794292176,0.012153063736022322,-2.5666641731690674,-0.31467870739017334,bhandara
district_namebid,-0.8434116827899725,0.4724141715449627,-1.785322569879129,0.07421737259312015,-1.7693573785983063,0.0825340130183615,bid
district_namebuldana,0.4232062894044518,0.48791082788663964,0.8673844998225348,0.3857371164952683,-0.5331133094391578,1.3795258882480614,buldana
district_namechandrapur,-2.64004097828906,0.47290147304332636,-5.582644861093897,2.3858153771047743e-8,-3.566941799392419,-1.713140157185701,chandrapur
district_namedhule,5.202414792194532,0.5891470942531382,8.83041746779662,1.0886402437165782e-18,4.047669128368146,6.357160456020918,dhule
district_namegadchiroli,-3.4049344754441635,0.47600118308941375,-7.153205908743653,8.637873969022288e-13,-4.337910819570132,-2.471958131318195,gadchiroli
district_namegondiya,-1.16730612180262,0.5455877014430955,-2.1395389205347937,0.03239870882896539,-2.2366740922533435,-0.09793815135189643,gondiya
district_namehingoli,9.569944776070653,0.5919432793824478,16.166996246759684,1.3829655699394492e-58,8.409718507001836,10.73017104513947,hingoli
district_namejalgaon,3.6149150651536677,0.4658713444447913,7.759470738561509,8.75145127611228e-15,2.7017935032446387,4.528036627062697,jalgaon
district_namejalna,3.682545804717996,0.5235003403601974,7.034466877679963,2.0356727334420356e-12,2.656469712789015,4.708621896646977,jalna
district_namekolhapur,-0.9041183750628105,0.4884995347508137,-1.8508070340824505,0.06420545271372066,-1.8615918567063203,0.05335510658069931,kolhapur
district_namelatur,0.26723664051400636,0.5255973405876394,0.508443669473717,0.6111453298906246,-0.7629496336484145,1.2974229146764271,latur
district_namenagpur,-4.4723353835990345,0.47370974609303623,-9.441087966808839,3.901604980136883e-21,-5.400820443695413,-3.5438503235026557,nagpur
district_namenanded,1.866977973110982,0.45808031437969243,4.075656417672396,4.598247226037537e-5,0.9691270596905428,2.7648288865314212,nanded
district_namenandurbar,4.595989810615455,0.5369994118641752,8.558649616878784,1.1861767246866625e-17,3.5434551407914885,5.648524480439422,nandurbar
district_namenashik,4.776499229506271,0.4310009917988014,11.082339299432569,1.6983748821427296e-28,3.9317245862306938,5.621273872781848,nashik
district_nameosmanabad,0.04761731965443486,0.5723733668916368,0.08319275914780622,0.9336987297541606,-1.0742513443092017,1.1694859836180715,osmanabad
district_nameparbhani,3.2676573698779956,0.5450752170830353,5.994874225551534,2.055655532046368e-9,2.1992938838732297,4.3360208558827615,parbhani
district_namepune,-1.663976366226185,0.4371137870615152,-3.8067350321119315,1.4104518982068824e-4,-2.5207322683288567,-0.8072204641235134,pune
district_nameraigarh,-6.6137587782295615,0.45170726837941944,-14.641692178117044,2.0939683094063435e-48,-7.49911833370906,-5.728399222750063,raigarh
district_nameratnagiri,-8.26059190717772,0.4711010789358459,-17.53464866995696,1.4970671753823937e-68,-9.183963902782198,-7.337219911573241,ratnagiri
district_namesangli,-0.8000890565112274,0.5681563890300673,-1.4082197647677708,0.1590745861737681,-1.9136923196138578,0.31351420659140306,sangli
district_namesatara,-4.8551347375791405,0.4476080137980361,-10.846844980237131,2.2743839557969436e-27,-5.732459633295488,-3.9778098418627934,satara
district_namesindhudurg,-10.118663382255368,0.5793398670956431,-17.465850284017964,4.959364970456388e-68,-11.254186591885261,-8.983140172625475,sindhudurg
district_namesolapur,0.5443471161718068,0.4911987092199611,1.1082014385506977,0.2677821864077151,-0.41841682696181715,1.5071110593054307,solapur
district_namethane,3.64939915527752,0.4527416521868366,8.06066580719967,7.81898058826842e-16,2.762012177057592,4.536786133497448,thane
district_namewardha,-4.995683675941826,0.5495173952538925,-9.091038280296257,1.0294127445607709e-19,-6.07275396204928,-3.9186133898343716,wardha
district_namewashim,-0.19262068064464422,0.5899047363935178,-0.32652845241125417,0.7440264521595619,-1.3488513453899342,0.9636099841006458,washim
district_nameyavatmal,0.8568908802169655,0.44743378296698966,1.9151233385526107,0.05548464084417475,-0.0200925179368574,1.7338742783707883,yavatmal
