district,adj_r2,rmse,n_vars,n_obs
ahmadnagar,0.09791738609163902,12.255923666723078,18,1054
akola,0.2886351368715304,10.532750389974083,15,489
amravati,0.12456461113671147,12.902836522918653,13,881
aurangabad,0.15834032172069556,12.814741616674885,20,798
bhandara,0.19781624321758806,9.690202973496406,12,464
bid,0.1381052028145957,8.364652127496386,12,903
buldana,0.09205315391704971,11.609481328450764,13,785
chandrapur,0.3280244684070538,7.920233098401109,25,876
dhule,0.0876820984655573,14.601612221206912,10,438
gadchiroli,0.30000730375567186,7.191003810152623,18,888
gondiya,0.22888827548686053,10.725787679962245,15,546
hingoli,0.19518956436447266,17.106682443559997,13,428
jalgaon,0.14008424574797418,12.518000690145096,15,944
jalna,0.28486386098261485,9.936490049600579,19,623
kolhapur,0.15293878885725098,11.729141525755397,18,806
latur,0.14925212182462133,10.901701269293099,16,617
nagpur,0.15750185010580886,8.821225949361446,20,885
nanded,0.12280853959270088,12.913173621647521,15,996
nandurbar,0.12070324666021603,12.785817456321004,11,578
nashik,0.09971633530450863,12.623008454146166,20,1270
osmanabad,0.19810074101507102,12.702983803718606,15,468
parbhani,0.20049740555964557,12.802743215788697,11,544
pune,0.2421724333200117,11.87412346316719,24,1186
raigarh,0.13445240815412696,9.18649411683734,11,1084
ratnagiri,0.13990454676473352,9.287972660770249,16,931
sangli,0.3929532945398059,9.929723756984824,19,480
satara,0.17295028012162006,10.957762989483003,13,1083
sindhudurg,0.14344510220651308,7.267103911703605,11,457
solapur,0.10404397560069867,10.915308751294123,15,756
thane,0.10739484902583918,16.504548946041265,19,1054
wardha,0.31574783228945613,6.67879655529487,15,538
washim,0.19858858983155703,9.760826502270364,13,436
yavatmal,0.21844619768373486,12.192110845931408,23,1114
