term,boot_ci_low,boot_ci_high
availability_of_high_school,0.2007327816106632,0.5824409386199216
availability_of_middle_school,0.7273895637447121,1.050878060233721
no_of_children_not_attending_sch,0.0152153413916311,0.46697729462002
total_minority_children_getting_,0.05933914146904455,0.5052726123230324
availability_of_mid_day_meal_sch,0.21631213509285424,0.48606133061433365
is_vocational_edu_centre_availab,-0.3063080978209429,0.01913894894951405
is_early_childhood_edu_provided_,0.08167987060030064,0.35551792481811056
availability_of_govt_degree_coll,-0.3469400468153184,5.882556514796879e-4
total_no_of_women_delivered_babi,-0.18496827690797424,0.7257446626013325
total_no_of_newly_born_children,0.04915010339703818,0.7918644669207975
total_anemic_adolescent_girls,-0.5512654756090767,0.37624051702810146
phc,0.06713103345648629,0.34882254491314657
sub_centre,0.3345593000245436,0.6419145795825161
chc,0.030629191992851773,0.3713099121365022
total_hhd_having_piped_water_con,-0.03294444745577575,0.9526820891561889
public_transport,0.22739976668098427,0.4600497942853885
is_broadband_available,0.1504449924769257,0.4000736556579262
weekly_haat,0.23642020111263307,0.5364312202288468
is_primary_school_with_computer_,0.2500646405429815,0.5261757250034818
total_hhd_having_bpl_cards,0.4325389680010362,1.1749642712990924
total_hhd_availing_pmjdy_bank_ac,0.2120700569508137,0.7587390195173711
total_no_of_beneficiaries_receiv,-0.7453700494803723,0.0742236748343429
total_no_of_farmers_received_ben,0.026286153667078364,0.48115843156613636
total_shg,0.21529703638369818,0.7656065591760675
total_hhd_having_pmsbhgy_benefit,-8.908959879858767e-4,0.36094977067823475
total_hhd_got_benefit_under_stat,0.2044253706914031,0.6618706163954975
